"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"716486",12,77,1,NA,NA,2,19,2,26,999,NA,NA,NA,1,NA,1
"141046",5,49,1,NA,NA,2,16,1,290,999,NA,NA,NA,1,NA,8
"971420",17,41,1,1,NA,2,16,2,179,22,NA,NA,NA,1,3520,1
"1480908",26,93,1,NA,NA,2,19,2,22,999,NA,NA,NA,1,NA,1
"524831",8,20,1,1,NA,2,18,2,32,51,NA,NA,NA,1,5700,1
"1566086",27,34,1,1,NA,2,18,1,22,32,NA,NA,NA,1,1105,1
"201121",6,68,1,NA,NA,2,22,2,50,999,4801,NA,NA,1,NA,1
"1377424",25,47,4,1,2,1,22,2,706,999,5007,NA,708,2,1020,6
"850169",13,16,1,NA,NA,2,13,1,902,999,NA,NA,NA,1,NA,2
"468944",6,68,5,NA,4,1,8,2,522,999,NA,NA,780,2,NA,2
"521438",6,74,1,1,NA,2,16,2,924,999,NA,NA,NA,1,4760,1
"935229",16,26,1,1,NA,2,16,1,50,999,NA,NA,NA,1,4030,1
"211393",6,41,4,6,1,1,21,1,720,999,2102,NA,742,2,4760,6
"397069",6,48,1,1,1,1,21,1,211,999,5507,NA,625,1,4965,1
"1592287",28,22,1,1,NA,2,1,1,924,999,NA,NA,NA,1,6515,1
"1386370",25,45,1,1,NA,2,21,1,94,999,1901,NA,NA,1,5240,1
"889854",13,67,1,1,NA,2,19,1,903,999,NA,NA,NA,1,4760,2
"1470555",26,55,1,3,NA,2,22,1,918,999,5507,NA,NA,1,3850,1
"1492119",26,12,1,NA,NA,2,9,2,999,999,NA,NA,NA,1,NA,1
"1342869",24,30,1,1,NA,2,18,2,599,226,NA,NA,NA,1,5400,2
"1195617",20,43,1,1,1,1,21,1,32,51,6210,NA,708,1,735,1
"802299",12,22,1,1,NA,2,19,2,902,999,NA,NA,NA,1,7810,2
"148914",5,62,1,NA,NA,2,10,2,939,999,NA,NA,NA,1,NA,1
"1601582",28,73,1,NA,NA,2,1,1,902,999,NA,NA,NA,1,NA,2
"1423375",25,29,4,5,1,1,21,1,529,999,2102,NA,796,2,1107,2
"1235637",21,16,1,NA,NA,2,13,2,999,999,NA,NA,NA,1,NA,9
"1220032",21,44,1,4,NA,2,20,1,22,999,NA,NA,NA,1,3850,1
"166490",6,63,4,NA,2,1,6,1,210,999,NA,NA,625,2,NA,1
"1409254",25,5,1,NA,1,1,3,2,210,999,NA,NA,625,1,NA,8
"155643",6,7,1,NA,NA,2,4,2,706,51,NA,NA,NA,1,NA,9
"962310",17,60,4,NA,3,1,17,2,795,999,NA,NA,667,2,NA,6
"472988",6,32,1,1,NA,2,19,2,999,999,NA,NA,NA,1,4040,1
"139712",5,66,1,NA,NA,2,10,2,939,999,NA,NA,NA,1,NA,1
"1238706",21,57,1,1,NA,2,16,2,999,999,NA,NA,NA,1,4220,1
"690320",12,3,1,NA,NA,NA,1,1,271,999,NA,NA,NA,1,NA,1
"1444977",26,55,1,1,NA,2,16,2,999,999,NA,NA,NA,1,5700,1
"1532494",27,60,1,5,NA,2,16,1,32,91,NA,NA,NA,1,5540,1
"801301",12,11,1,NA,1,1,8,1,275,999,NA,NA,625,1,NA,1
"1115085",18,4,1,NA,NA,NA,1,1,210,999,NA,NA,NA,1,NA,8
